word,length,first_letter,last_letter,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
lactometer,10,l,r,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0
titanite,8,t,e,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
stilliform,10,s,m,0,0,0,0,0,1,0,0,2,0,0,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0
cornhusks,9,c,s,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0
pisciform,9,p,m,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
purificator,11,p,r,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0
phalansterian,13,p,n,3,0,0,0,1,0,0,1,1,0,0,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0
ropeway,7,r,y,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
monitorial,10,m,l,1,0,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0
attaboy,7,a,y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0
bondswomen,10,b,n,0,1,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0
sustainment,11,s,t,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,2,2,1,0,0,0,0,0
spindlelegs,11,s,s,0,0,0,1,2,0,1,0,1,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0
shoeblacks,10,s,s,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
lobelias,8,l,s,1,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
guidon,6,g,n,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
mayapples,9,m,s,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0
nowhither,9,n,r,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
trainbearers,12,t,s,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0
answerer,8,a,r,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0
anarchical,10,a,l,3,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
playlet,7,p,t,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
emalangeni,10,e,i,2,0,0,0,2,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
carks,5,c,s,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
overissue,9,o,e,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,0,0
headstream,10,h,m,2,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
westers,7,w,s,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0
determinist,11,d,t,0,0,0,1,2,0,0,0,2,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0
jujus,5,j,s,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
thermophile,11,t,e,0,0,0,0,2,0,0,2,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0
necrosed,8,n,d,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
slanginess,10,s,s,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0
encrimsoning,12,e,g,0,0,1,0,1,0,1,0,2,0,0,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0
placoid,7,p,d,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
anomalism,9,a,m,2,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
karstification,14,k,n,2,0,1,0,0,1,0,0,3,0,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0
raisings,8,r,s,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
orogenic,8,o,c,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
dimercaprol,11,d,l,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0
residentiary,12,r,y,1,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0
preparator,10,p,r,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0
garniture,9,g,e,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0
triennium,9,t,m,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0
sensillum,9,s,m,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0
frequentation,13,f,n,1,0,0,0,2,1,0,0,1,0,0,0,0,2,1,0,1,1,0,2,1,0,0,0,0,0
proscriptive,12,p,e,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,2,0,2,1,1,0,1,0,0,0,0
drawee,6,d,e,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
photogravures,13,p,s,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,2,1,1,1,1,0,0,0,0
confervas,9,c,s,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
busman,6,b,n,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
furfuran,8,f,n,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0
atrophic,8,a,c,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
earthstars,10,e,s,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
bilocular,9,b,r,1,1,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
overliberal,11,o,l,1,1,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0
homochromous,12,h,s,0,0,1,0,0,0,0,2,0,0,0,0,2,0,4,0,0,1,1,0,1,0,0,0,0,0
monochromatism,14,m,m,1,0,1,0,0,0,0,1,1,0,0,0,3,1,3,0,0,1,1,1,0,0,0,0,0,0
argentic,8,a,c,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
vasculum,8,v,m,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0
seriatim,8,s,m,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
scauper,7,s,r,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
literality,10,l,y,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0
ruffler,7,r,r,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
ratiocinator,12,r,r,2,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0
abraders,8,a,s,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
stereotypically,15,s,y,1,0,1,0,2,0,0,0,1,0,0,2,0,0,1,1,0,1,1,2,0,0,0,0,2,0
nominalisms,11,n,s,1,0,0,0,0,0,0,0,2,0,0,1,2,2,1,0,0,0,2,0,0,0,0,0,0,0
forfeitable,11,f,e,1,1,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
brits,5,b,s,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
barbicans,9,b,s,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
gastrological,13,g,l,2,0,1,0,0,0,2,0,1,0,0,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0
grandioso,9,g,o,1,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
empennages,10,e,s,1,0,0,0,3,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0
flexibleness,12,f,s,0,1,0,0,3,1,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0
beggarweed,10,b,d,1,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
steric,6,s,c,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
injuriously,11,i,y,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,1,1,0,2,0,0,0,1,0
beamiest,8,b,t,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
nonprotein,10,n,n,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,0,1,0,1,0,0,0,0,0,0
insipience,10,i,e,0,0,1,0,2,0,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
quaternities,12,q,s,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0,0
archpriest,10,a,t,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0
filature,8,f,e,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
sourball,8,s,l,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0
punnings,8,p,s,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0
chieftaincies,13,c,s,1,0,2,0,2,1,0,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
complect,8,c,t,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
hydrostatical,13,h,l,2,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0,1,0
inshrine,8,i,e,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
holden,6,h,n,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
slanging,8,s,g,1,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
lifeboatmen,11,l,n,1,1,0,0,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
durbars,7,d,s,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
exordium,8,e,m,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
phenomenalism,13,p,m,1,0,0,0,2,0,0,1,1,0,0,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0
occults,7,o,s,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
pyrrhotite,10,p,e,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,1,0
glycogenesis,12,g,s,0,0,1,0,2,0,2,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0
rhyolite,8,r,e,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
titis,5,t,s,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
trophoblast,11,t,t,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,1,2,0,0,0,0,0,0
erythrite,9,e,e,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0
prostatectomy,13,p,y,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,1,3,0,0,0,0,1,0
ineffectualities,16,i,s,1,0,1,0,3,2,0,0,3,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0
mylonite,8,m,e,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
hyrax,5,h,x,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
superstrength,13,s,h,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,2,2,2,1,0,0,0,0,0
copaibas,8,c,s,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
conjunctionally,15,c,y,1,0,2,0,0,0,0,0,1,1,0,2,0,3,2,0,0,0,0,1,1,0,0,0,1,0
windhover,9,w,r,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
ahimsa,6,a,a,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
silicify,8,s,y,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
spleenful,9,s,l,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0
unsubtly,8,u,y,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,1,0
hagride,7,h,e,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fisc,4,f,c,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
amphibolous,11,a,s,1,1,0,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0
jabiru,6,j,u,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
misusage,8,m,e,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
hypothecate,11,h,e,1,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0
haruspex,8,h,x,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
orchestrator,12,o,r,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,3,1,2,0,0,0,0,0,0
bachelorette,12,b,e,1,1,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0
namings,7,n,s,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
lucerne,7,l,e,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
chertier,8,c,r,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
ossein,6,o,n,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
uriniferous,11,u,s,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0,0,0
fossick,7,f,k,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
recension,9,r,n,0,0,1,0,2,0,0,0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0
dispraiser,10,d,r,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
harpers,7,h,s,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
tottery,7,t,y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0
homilist,8,h,t,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
wahoos,6,w,s,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
sotted,6,s,d,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
triunity,8,t,y,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0
unnavigable,11,u,e,2,1,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0
operatively,11,o,y,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0
precession,10,p,n,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0
ciceros,7,c,s,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
calamint,8,c,t,2,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
rachitides,10,r,s,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
stickles,8,s,s,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
subjunction,11,s,n,0,1,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,1,2,0,0,0,0,0
bennets,7,b,s,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
vesical,7,v,l,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
tassets,7,t,s,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
dabchick,8,d,k,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guardedness,11,g,s,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
machiavellian,13,m,n,3,0,1,0,1,0,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
evenhandedness,14,e,s,1,0,0,2,4,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0
immingled,9,i,d,0,0,0,1,1,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
jolty,5,j,y,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
teleran,7,t,n,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
renunciant,10,r,t,1,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0
paperbound,10,p,d,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0
micronucleus,12,m,s,0,0,2,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,2,0,0,0,0,0
cuvette,7,c,e,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
asthenopias,11,a,s,2,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0
religionists,12,r,s,0,0,0,0,1,0,1,0,3,0,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,0
delightedness,13,d,s,0,0,0,2,3,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0
serviceberries,14,s,s,0,1,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0
unreturned,10,u,d,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0,0,0,0,0
doodlesack,10,d,k,1,0,1,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
shoran,6,s,n,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
premenopausal,13,p,l,2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,2,0,1,1,0,1,0,0,0,0,0
tacheometer,11,t,r,1,0,1,0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0
maya,4,m,a,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cataplasms,10,c,s,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0
scutate,7,s,e,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
vagal,5,v,l,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
carracks,8,c,s,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
polyphagia,10,p,a,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0
archdeaconry,12,a,y,2,0,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0
dalesmen,8,d,n,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
undead,6,u,d,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
staggard,8,s,d,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
zebec,5,z,c,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
catholicly,10,c,y,1,0,2,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0
circumstantiating,17,c,g,2,0,2,0,0,0,1,0,3,0,0,0,1,2,0,0,0,1,1,3,1,0,0,0,0,0
sphenogram,10,s,m,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
interfluve,10,i,e,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
maculates,9,m,s,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
antiunion,9,a,n,1,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0
gallic,6,g,c,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geophilous,10,g,s,0,0,0,0,1,0,1,1,1,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0
elastance,9,e,e,2,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
decortication,13,d,n,1,0,2,1,1,0,0,0,2,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0
sayonara,8,s,a,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
photogene,9,p,e,0,0,0,0,2,0,1,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0
terbia,6,t,a,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
molybdenous,11,m,s,0,1,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0
interstitially,14,i,y,1,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,1,1,3,0,0,0,0,1,0
takas,5,t,s,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
spasticity,10,s,y,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0
tetherball,10,t,l,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0
uglifying,9,u,g,0,0,0,0,0,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
tibiotarsus,11,t,s,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,2,1,0,0,0,0,0
elucidator,10,e,r,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
stomatitis,10,s,s,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,0
brainpan,8,b,n,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
unrevenged,10,u,d,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0
safecracker,11,s,r,2,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
cherishable,11,c,e,1,1,1,0,2,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
trifurcate,10,t,e,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0
infixed,7,i,d,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
bayard,6,b,d,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
embattle,8,e,e,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
resected,8,r,d,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
bewrayed,8,b,d,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
galatea,7,g,a,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
martian,7,m,n,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
unwarned,8,u,d,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0
stumblingly,11,s,y,0,1,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0
bedesman,8,b,n,1,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
microseism,10,m,m,0,0,1,0,1,0,0,0,2,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0
planetesimal,12,p,l,2,0,0,0,2,0,0,0,1,0,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0
kafir,5,k,r,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
middlebuster,12,m,r,0,1,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
fluoroscopies,13,f,s,0,0,1,0,1,1,0,0,1,0,0,1,0,0,3,1,0,1,2,0,1,0,0,0,0,0
